0 "7½" 0 8.62 14
1 "6" 1.38 8.62 14 
2 "4½" 1.38 8.62 14
3 "3" 1.38 8.02 20
4 "1½" 1.23 8.02 20
5 "0" 1.5 7.82 22
6 "1½" 1.5 7.82 22
7 "3" 1.37 7.82 22
8 "4½" 1.37 7.82 22
9 "6" 1.37 7.92 21
10 "7½" 1.37 8.02 20
11 "9" 1.37 8.12 19
12 "10½" 1.37 8.12 19
13 "12" 1.37 8.22 18
14 "13½" 1.37 8.22 18
15 "15" 1.37 8.32 17
16 "16½" 1.37 8.32 17
17 "18" 1.37 8.32 17
18 "19½" 1.37 8.32 17
19 "21" 1.37 8.42 16
20 "22½" 1.37 8.42 16
21 "24" 1.37 8.52 15
22 "25½" 1.37 8.62 14
23 "27" 1.37 8.82 12
24 "28½" 1.37 8.82 12
25 "30" 1.37 8.82 12
26 "31½" 1.37 8.82 12
27 "33" 1.37 8.82 12
28 "34½" 1.37 8.82 12
29 "36" 1.37 8.82 12
30 "37½" 1.37 8.82 12
# Lower Extremity JOBSTEX 22 reduction 9 ds, Form 58655 
