0 "7½" 0 8.59 14
1 "6" 1.375 8.59 14
2 "4½" 1.375 8.59 14
3 "3" 1.375 7.99 20
4 "1½" 1.21875 7.99 20
5 "0" 1.5 7.81 22
6 "1½" 1.5 7.81 22
7 "3" 1.21875 7.81 22
8 "4½" 1.25 7.81 22
9 "6" 1.25 7.91 21
10 "7½" 1.25 7.99 20
11 "9" 1.25 8.05 19
12 "10½" 1.25 8.05 19
13 "12" 1.25 8.2 18
14 "13½" 1.25 8.2 18
15 "15" 1.25 8.31 17
16 "16½" 1.25 8.31 17
17 "18" 1.25 8.31 17
18 "19½" 1.25 8.31 17
19 "21" 1.25 8.38 16
20 "22½" 1.25 8.38 16
21 "24" 1.25 8.5 15
22 "25½" 1.25 8.59 14
23 "27" 1.25 8.79 12
24 "28½" 1.25 8.79 12
25 "30" 1.25 8.79 12
26 "31½ "1.25 8.79 12
27 "33 "1.25 8.79 12
28 "34½" 1.25 8.79 12
29 "36" 1.25 8.79 12
30 "37½" 1.25 8.79 12
# Lower Extremity template - 40 mm Hg R, Form 86-38
