0 "7½" 0 8.6 14
1 "6" 1.375 8.6 14
2 "4½" 1.375 8.6 14
3 "3" 1.375 8.01 20
4 "1½" 1.21875 8.01 20
5 "0" 1.5 7.82 22
6 "1½" 1.5 8.01 20
7 "3" 1.21875 8.01 20
8 "4½" 1.25 8.01 20
9 "6" 1.25 8.14 19
10 "7½" 1.25 8.24 18
11 "9" 1.25 8.31 17
12 "10½" 1.25 8.31 17
13 "12" 1.25 8.43 16
14 "13½" 1.25 8.43 16
15 "15" 1.25 8.5 15
16 "16½" 1.25 8.5 15
17 "18" 1.25 8.5 15
18 "19½" 1.25 8.5 15
19 "21" 1.25 8.6 14
20 "22½" 1.25 8.6 14
21 "24" 1.25 8.6 14
22 "25½" 1.25 8.83 12
23 "27" 1.25 8.83 12
24 "28½" 1.25 8.83 12
25 "30" 1.25 8.83 12
26 "31½ "1.25 8.83 12
27 "33 "1.25 8.83 12
28 "34½" 1.25 8.83 12
29 "36" 1.25 8.83 12
30 "37½" 1.25 8.83 12
# Lower Extremity template - 35 mm Hg R, Form 86-34
