0 "7½" 0 8.73 13
1 "6" 1.375 8.73 13
2 "4½" 1.375 8.73 13
3 "3" 1.375 8.32 17
4 "1½" 1.21875 8.32 17
5 "0" 1.5 8.04 20
6 "1½" 1.5 8.28 18
7 "3" 1.21875 8.28 18
8 "4½" 1.25 8.28 18
9 "6" 1.25 8.31 17
10 "7½" 1.25 8.31 17
11 "9" 1.25 8.31 17
12 "10½" 1.25 8.42 16
13 "12" 1.25 8.42 16
14 "13½" 1.25 8.51 15
15 "15" 1.25 8.51 15
16 "16½" 1.25 8.61 14
17 "18" 1.25 8.61 14
18 "19½" 1.25 8.61 14
19 "21" 1.25 8.73 13
20 "22½" 1.25 8.73 13
21 "24" 1.25 8.73 13
22 "25½" 1.25 8.8 12
23 "27" 1.25 8.8 12
24 "28½" 1.25 8.8 12
25 "30" 1.25 8.8 12
26 "31½ "1.25 8.8 12
27 "33 "1.25 8.8 12
28 "34½" 1.25 8.8 12
29 "36" 1.25 8.8 12
30 "37½" 1.25 8.8 12
# Lower Extremity template - 30 mm Hg R, Form 58630
